IAGA Code,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007
AAA,,,,,,,,,,,,,,,S,S,S
AAE,,,,,,,,S,S, ,S,S,S,S,S,S,S
ABG,,,,,,,V,V,V,V,V,V,V,V,V,V,V
ABK,,,,V,V,V,V,S,S,S,S,S,S,S,S,S,S
AIA,,,,,,,,,,,,,,V,V,V,V
ALE,,S,,,S,S,S,,,,,,,,,,
AMS,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S
API,,,,,,,,,V,V,V,V,V,V,V,V,V
AQU,,,,,,,,,,S,S,S,S,S,S,S,S
ASC,,,,,,,,,,,,,V,V,S,S,S
ASP,,,,,,,,,V,V,V,V,V,V,S,S,S
BDV,,,,V,V,V,V,V,V,V,V,V,V,S,V,S,S
BEL,,,V,V,V,S,S,S,V,V,S,S,S,S,S,S,S
BFE,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V
BFO,,,,,,,,,,,,,,,,S,S
BLC,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S
BMT,,,,,,,,V,V,V,V,V,V,V,V,V,V
BNG,,,V,V,V,S,S,S,S,S,S,S,S,,S,S,S
BOU,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S
BOX,,,,,,,,,,,,,,S,S,S,S
BRW,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S
BSL,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,,S
CBB,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S
CLF,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S
CMO,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S
CNB,V,V,V,V,V,V,V,V,V,V,V,V,V,S,S,S,S
CTA,,,,,,,,,,V,V,V,V,S,S,S,S
CZT,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S
DLR,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S
DOU,,,,,,,,,,,,V,V,V,V,V,V
DRV,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S
EBR,,,,,,,,,,,,S,S,S,S,S,S
ESK,V,V,V,V,V,V,V,V,V,V,V,V,V,V,S,S,S
EYR,,,,V,V,V,V,V,V,V,V,V,V,V,S,S,S
FCC,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S
FRD,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S
FRN,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S
FUR,,,,,V,V,S,S,S,S,S,S,S,S,S,S,S
GCK,,,,,,,,,,,,,,,S,,S
GDH,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,
GLN,,S,S,S,S,S,S,,,,,,,,,,
GNA,,,,V,V,V,V,V,V,V,V,V,V,S,S,S,S
GUA,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S
GUI,,,,,,,S,S,V,S,V,V,S,S,S,S,S
GZH,,,,,,,,,,,,,S,S,V,V,
HAD,V,V,V,V,V,V,V,V,V,V,V,V,V,V,S,S,S
HBK,,,,,,,,,S,S,S,S,S,S,S,S,S
HER,,,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S
HLP,,,,,,,,V,V,V,V,V,V,S,S,S,S
HON,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S
HRB,,,,,,,V,V,V,V,V,V,V,V,V,V,V
HRN,,,,,,,,,,,,V,V,V,V,V,V
HUA ,,,,,,,,,,,,S,S,S,S,S,S
IQA,,,,,,S,S,S,S,S,S,V,S,S,S,,S
IRT,,,,,,,,,,,V,V,V,V,V,V,V
ISK,,,,,,,,,,,,,,,,,
IZN,,,,,,,,,,,,,,,,,S
KAK,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S
KDU,,,,,,,,,,V,V,V,V,S,S,S,S
KNY,,,,,,,,,,,S,S,S,S,S,S,S
KOU,,,,,,S,S,S,S,S,S,S,S,S,S,S,S
LER,V,V,V,V,V,V,V,V,V,V,V,V,V,V,S,S,S
LNP,,,,,V,,V,V,V,V,,,,,,,
LOV,S,S,S,V,V,V,V,S,S,S,S,S,S,S,,,
LRM,,,,,,,,,,,,,,S,S,S,S
LVV,,,,,,,,,,,,,,V,V,V,V
LZH,,,,,,,,,,,S,S,S,S,S,S,S
MAB,,,,,,,,,,,,,,,V,V,V
MAW,,,,,,,,,,,,,,,S,S,S
MBC,S,S,S,S,S,S,S,,,,,,,,,,
MBO,,,V,V,S,S,S,S,S,S,S,S,S,S,S,S,S
MCQ,,,,,,,,,,,V,V,V,S,S,S,S
MEA,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S  ,S,S
MID,,,,,,,,,,S,S,S,,,,,
MMB,,,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S
NAQ,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V
NCK,,,S,,V,V,V,V,V,V,V,V,V,V,V,V,V
NEW,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S
NGK,,,,,V,V,V,V,V,V,V,V,V,V,S,S,S
NUR,V,V,V,S,S,S,S,V,V,V,V,V,V,V,V,V,V
NVS,,,,,,,,,,,,,,S,S,S,S
OTT,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S
PAF,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S
PAG,,,,,,,,,,,,,,,,,S
PBQ,,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S
PHU,,,,,,S,S,S,V,S,S,S,S,S,S,S,S
PPT,V,,V,V,V,S,S,S,S,V,S,S,S,S,S,S,S
PST,,,,,,,,,,,,,V,V,S,S,S
QSB,,,,,,,,,,S,S,S,S,S,S,S,S
RES,,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S
SBA,,,,,,V,V,V,V,V,V,V,V,V,V,,S
SFS,,,,,,,,,,,,,,,S,S,S
SHU,,,,,,,,,,,,,,,S,S,S
SIT,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S
SJG,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S
SOD,V,V,V,S,S,S,S,V,V,V,V,V,V,V,V,V,V
SPT,,,,,,,S,S,S,S,S,S,S,S,S,S,S
STJ,S,S ,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S
SUA,,,,,,,,,V,V,V,V,V,V,V,V,V
TAM,,,S,S,V,S,S,S,S,S,S,S,S,S,S,S,S
TAN,,,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S
TEO,,,,,,,,,,,,V,V,V,V,V,V
THL,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V
THY,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S
TIK,V,,,,,,,,,,,,,,,,
TRW,,,,,,,,,,V,V,V,V,V,V,V,V
TSU,,,,,,,,,,,,,,S,S,S,S
TUC,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S
UPS,,,,,,,,,,,,,S,S,S,S,S
VAL,,,,,,,,,,,,V,V,V,V,V,V
VIC,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S
VSS,,,,,,,,,S,S,S,S,S,V,V,V,V
WNG,,,,S,S,S,S,S,S,S,S,S,S,S,S,S,S
YKC,,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S
